Name,Abstraction Level
A Woman playing a clavichord.jpg,Naturalistic
Aristotle with a bust of homer - Rembrant.jpg,Naturalistic
Bacchanal before a Statue of Pan - Poussin.jpg,Naturalistic
Charles I with M. de St. Antoine - van Dyck.jpg,Naturalistic
Death of the Virgin - Caravaggio.jpg,Naturalistic
Deposition - Caravaggio.jpg,Naturalistic
Education of the Princess - Paul Reubens.jpg,Naturalistic
Girl with a pearl earring - vermeer.jpg,Naturalistic
Judith and her maidservant with the head of Holofernes - Gentileschi.jpg,Naturalistic
Judith Slaying Holofernes - Gentileschi.jpg,Naturalistic
las meninas - Velazquez.jpg,Naturalistic
Louis XIV - Rigaud.jpg,Naturalistic
Old Woman Cooking Eggs - 1618.jpg,Naturalistic
Portrait of Charles II - Wright.jpg,Naturalistic
Quince Cabbage Melon and Cucumber - Cotan.jpg,Naturalistic
Samson and Delilah - Rubens.jpg,Naturalistic
Samson and Delilah - van Dyck.jpg,Naturalistic
Self Portrait - Rembrant.jpg,Naturalistic
Self-portrait - Leyster.jpg,Naturalistic
Singing boy with a flute - Hals.jpg,Naturalistic
St. John the Baptist in Wilderness - Caravaggio.jpg,Naturalistic
Still life with a sliver ewer - Kalf.jpg,Naturalistic
Still Life with Ebony Chest - Pereda.jpg,Naturalistic
Still Life with Flowers etc - Peeters.jpg,Naturalistic
The Anatomy Lesson of Dr. Nicolaes Tuple - Rembrant.jpg,Naturalistic
The Arrival of Marie de Medici at Marseille - rubens.jpg,Naturalistic
The art of painting - vermeer.jpg,Naturalistic
The Calling of Saint Matthew - Caravaggio.jpg,Naturalistic
The Consequences of War - Rubens.jpg,Naturalistic
The Crowning with Thorns - Caravaggio.jpg,Naturalistic
The Crucifixion of St. Peter - Caravaggio.jpg,Naturalistic
The Feast of St Nicholas - Steen.jpg,Naturalistic
The Geographer - Vermeer.jpg,Naturalistic
The Immaculate Conception of Los Venerables - Murillo.jpg,Naturalistic
The Jewish Bride - Rembrant.jpg,Naturalistic
The Jewish Cemetary - Ruisdael.jpg,Naturalistic
The Martyrdom of Saint Serapion - Zurbaran.jpg,Naturalistic
The Night Watch - Rembrant.jpg,Naturalistic
The Presentation of the Portrait of Marie de' Medici - Rubens.jpg,Naturalistic
The Proposition - Leyster.jpg,Naturalistic
The Rape of the Daughters of Leucippus.jpg,Naturalistic
The Supper at Emmaus - Caravaggio.jpg,Naturalistic
The Triumph of Bacchus - Velazquez.jpg,Naturalistic
The Waterseller of Seville - Velazquez.jpg,Naturalistic
Venus Mars and Cupid - Rubens.jpg,Naturalistic
View of Haarlen with Bleaching Grounds - Ruisdael.jpg,Naturalistic
Vulcan's Forge - Velazquez.jpg,Naturalistic
Woman with a water jug - Vermeer.jpg,Naturalistic
Women Regents - Hals.jpg,Naturalistic
Big Nude - Braque.jpg,Semi-Abstract
Bottle and Fishes - Braque.jpg,Organically Abstract
Bottle and Glass on a Table - Gris.jpg,Wholly Abstract
Clarinet and Bottle of Rum on a Mantlepiece - Braque.jpg,Organically Abstract
Contrast of Forms - Leger.jpg,Wholly Abstract
Cubist Self Portrait - Dali.jpg,Organically Abstract
Daniel-Henry Kahnweiler - Picasso.jpg,Organically Abstract
Dora Maar au Chat - Picasso.jpg,Semi-Abstract
Fruit Dish and Glass - Braque.jpg,Organically Abstract
Gala and the Angelus of Millet - Dali.jpg,Semi-Abstract
Girl Before A Mirror - Picasso.jpg,Semi-Abstract
Girl with Mandolin - Picasso.jpg,Organically Abstract
Gueridon - Braque.jpg,Organically Abstract
Guernica - Picasso.jpg,Semi-Abstract
Guitar - Picasso.jpg,Organically Abstract
Houses at l'Estaque - Braque.jpg,Semi-Abstract
Jacqueline Kneeling - Picasso.jpg,Semi-Abstract
L'Oiseau bleu - Metzinger.jpg,Organically Abstract
La Femme aux Phlox - Gleizes.jpg,Semi-Abstract
Ma Joile - Picasso.jpg,Wholly Abstract
Man with a Pipe - Picasso.jpg,Organically Abstract
Nature morte au compotier - Picasso.jpg,Semi-Abstract
Nude Descending a Staircase - Duchamp.jpg,Organically Abstract
Painter and Model - Picasso.jpg,Organically Abstract
Paris Through a Window - Chagall.jpg,Semi-Abstract
Portrait of Ambroise Vollard - Picasso.jpg,Semi-Abstract
Portrait of Dora Maar - Picasso.jpg,Semi-Abstract
Portrait of Pablo Picasso - Gris.jpg,Organically Abstract
Self Portrait with Seven Fingers - Chagall.jpg,Semi-Abstract
Still life with Clarinet - Braque.jpg,Organically Abstract
The City - Delaunay.jpg,Semi-Abstract
The City - Leger.jpg,Organically Abstract
The Eiffel Tower - Delaunay.jpg,Semi-Abstract
The Green Violinist - Chagall.jpg,Semi-Abstract
The Open Window - Gris.jpg,Semi-Abstract
The Portuguese - Braque.jpg,Organically Abstract
The Reservoir - Picasso.jpg,Semi-Abstract
The Round Table - Braque.jpg,Semi-Abstract
The Table - Gris.jpg,Organically Abstract
Three Musicians - Picasso.jpg,Semi-Abstract
Three Women - Picasso.jpg,Semi-Abstract
Violin and Candlestick - Braque.jpg,Organically Abstract
Violin and Checkerboard - Gris.jpg,Organically Abstract
Violin and Guitar - Gris.jpg,Organically Abstract
Violin and Palette - Braque.jpg,Organically Abstract
Woman in Hat with a Fur Collar - Picasso.jpg,Semi-Abstract
Woman with Guitar - Braque.jpg,Organically Abstract
Zapata-style Landscape - Rivera.jpg,Organically Abstract
Guitar on a table - Gris.jpeg,Semi-Abstract
All Saints - Kandinsky.jpg,Semi-Abstract
All Saints I - Kandinsky.jpg,Organically Abstract
Blue Horse I - Marc.jpg,Semi-Abstract
Blue Horses - Marc.jpg,Semi-Abstract
Boy Leading a Horse - Picasso.jpg,Semi-Abstract
Castle and Sun - Klee.jpg,Organically Abstract
Death in a Sickroom - Munch.jpg,Naturalistic
Dog Lying in the Snow - Marc.jpg,Semi-Abstract
Evening on Karl Johan Street - Munch.jpg,Semi-Abstract
Fighting Forms - Marc.jpg,Wholly Abstract
Girls on the Bridge - Munch.jpg,Naturalistic
Grazing Horses IV - Marc.jpg,Semi-Abstract
Harmony in Red - Matisse.jpg,Semi-Abstract
Hermits - Schiele.jpg,Semi-Abstract
