Name,Abstraction Level,Genre,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
A Woman playing a clavichord.jpg,Naturalistic,Genre,Indoors,Private Domain,,Recreation,Occupation of Time,Peace,Comfort,Casual,,,,,,,,
Aristotle with a bust of homer - Rembrant.jpg,Naturalistic,Portraiture,Thinker/Artist,Genius,Thoughtful,Greatness,Texture,,,,,,,,,,,
Bacchanal before a Statue of Pan - Poussin.jpg,Naturalistic,Genre,Outdoors,Public Domain,Rural Realm,Recreation,Festivity/Celebration,Community/Family,Social Consciousness,Morality,Joy,Harmony,Abundance,Lively,Independence,,,
Charles I with M. de St. Antoine - van Dyck.jpg,Naturalistic,Portraiture,Royalty,Status,Power,Strength,Confidence,,,,,,,,,,,
Death of the Virgin - Caravaggio.jpg,Naturalistic,History Genre,Religious Subgenre,Indoors,Public Domain,,Religious Action,Conflict,Spirituality,Cycle of life,Loss,Sadness,Drama,,,,,
Deposition - Caravaggio.jpg,Naturalistic,History Genre,Religious Subgenre,Indoors,Public Domain,,Religious Action,Violence,Conflict,Spirituality,Cycle of life,Morality,Sadness,Drama,Loss,,,
Education of the Princess - Paul Reubens.jpg,Naturalistic,History Genre,Mythological Subgenre,Outdoors,Private Domain,Rural Realm,Education,Communication,the Mind,Beauty,Greatness,,,,,,,
Girl with a pearl earring - vermeer.jpg,Naturalistic,Portraiture,Commoner,Beauty/Ideal,Thoughtful,Freshness,Elegance,,,,,,,,,,,
Judith and her maidservant with the head of Holofernes - Gentileschi.jpg,Naturalistic,History Genre,Religious Subgenre,Indoors,Private Domain,,Violence,Conflict,Power,Morality,Community/Family,Strength,Drama,Antiquity,Gender,,,
Judith Slaying Holofernes - Gentileschi.jpg,Naturalistic,History Genre,Religious Subgenre,Indoors,Private Domain,,Violence,Conflict,Power,Morality,Community/Family,Strength,Drama,Antiquity,Gender,,,
las meninas - Velazquez.jpg,Naturalistic,Portraiture,Royalty,Status,Youth,Youth,Elegance,,,,,,,,,,,
Louis XIV - Rigaud.jpg,Naturalistic,Portraiture,Royalty,Status,Power,Greatness,Confidence,Strength,,,,,,,,,,
