Name,Color Mode,Color Diversity,Color Intensity,Color Harmony,Proximity Contrast,Depth,Value Contrast,Average Value,Lines,Balance,Movement,Empty Space,Perspective,Brushstroke Control,Brushstroke Visibility,Outlines
A Woman playing a clavichord.jpg,Naturalistic Color,Somewhat Diverse Hue,True Tone,Harmonious Color,Blended Color Contrast,Normal/Regular Depth,Normal Contrast,Balanced Value,Distinct Lines,Mostly Imbalanced Space,Intermediate Movement,Intermediate Empty Space,Direct Perspective,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
Aristotle with a bust of homer - Rembrant.jpg,Naturalistic Color,Similar Hue,True Tone,Harmonious Color,Blended Color Contrast,Shallow Depth,High Contrast,Dark Value,Intermediate Lines,Highly Balanced Space,Highly Static Movement,Intermediate Empty Space,Direct Perspective,Mix/Intermediate Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
Bacchanal before a Statue of Pan - Poussin.jpg,Naturalistic Color,Somewhat Diverse Hue,Muted/Tinted,Harmonious Color,Blended Color Contrast,Normal/Regular Depth,Low Contrast,Light Value,Distinct Lines,Mostly Balanced Space,Highly Static Movement,Small Empty Space,Intermediate Perspective,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
Charles I with M. de St. Antoine - van Dyck.jpg,Naturalistic Color,Highly Diverse Hue,True Tone,Harmonious Color,Blended Color Contrast,Normal/Regular Depth,Normal Contrast,Light Value,Distinct Lines,Mostly Balanced Space,Intermediate Movement,Small Empty Space,Intermediate Perspective,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
Death of the Virgin - Caravaggio.jpg,Naturalistic Color,Similar Hue,Muted/Tinted,Harmonious Color,Blended Color Contrast,Shallow Depth,High Contrast,Dark Value,Distinct Lines,Mostly Balanced Space,Highly Static Movement,Intermediate Empty Space,Intermediate Perspective,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
Deposition - Caravaggio.jpg,Naturalistic Color,Similar Hue,Vibrant Tone,Friction/Tension Color,Blended Color Contrast,Shallow Depth,High Contrast,Balanced Value,Distinct Lines,Mostly Imbalanced Space,Highly Dynamic Movement,Intermediate Empty Space,Direct Perspective,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
Education of the Princess - Paul Reubens.jpg,Naturalistic Color,Somewhat Diverse Hue,True Tone,Harmonious Color,Blended Color Contrast,Normal/Regular Depth,Normal Contrast,Balanced Value,Distinct Lines,Mostly Balanced Space,Intermediate Movement,Intermediate Empty Space,Intermediate Perspective,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
Girl with a pearl earring - vermeer.jpg,Naturalistic Color,Somewhat Diverse Hue,True Tone,Harmonious Color,Stark Color Contrast,Shallow Depth,High Contrast,Balanced Value,Distinct Lines,Mostly Balanced Space,Highly Static Movement,Large Empty Space,Direct Perspective,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
Judith and her maidservant with the head of Holofernes - Gentileschi.jpg,Naturalistic Color,Similar Hue,Vibrant Tone,Friction/Tension Color,Blended Color Contrast,Shallow Depth,High Contrast,Dark Value,Distinct Lines,Mostly Imbalanced Space,Highly Dynamic Movement,Intermediate Empty Space,Direct Perspective,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
Judith Slaying Holofernes - Gentileschi.jpg,Naturalistic Color,Somewhat Diverse Hue,True Tone,Friction/Tension Color,Blended Color Contrast,Shallow Depth,Normal Contrast,Balanced Value,Distinct Lines,Highly Imbalanced Space,Highly Dynamic Movement,Intermediate Empty Space,Intermediate Perspective,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
las meninas - Velazquez.jpg,Naturalistic Color,Similar Hue,True Tone,Harmonious Color,Blended Color Contrast,Deep Depth,Normal Contrast,Balanced Value,Distinct Lines,Highly Balanced Space,Highly Dynamic Movement,Large Empty Space,Direct Perspective,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
Louis XIV - Rigaud.jpg,Naturalistic Color,Somewhat Diverse Hue,Vibrant Tone,Harmonious Color,Blended Color Contrast,Shallow Depth,Normal Contrast,Light Value,Distinct Lines,Highly Balanced Space,Highly Static Movement,Large Empty Space,Direct Perspective,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
Old Woman Cooking Eggs - 1618.jpg,Naturalistic Color,Similar Hue,True Tone,Harmonious Color,Stark Color Contrast,Shallow Depth,High Contrast,Balanced Value,Distinct Lines,Mostly Balanced Space,Highly Dynamic Movement,Intermediate Empty Space,Direct Perspective,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
Portrait of Charles II - Wright.jpg,Naturalistic Color,Somewhat Diverse Hue,Vibrant Tone,Friction/Tension Color,Stark Color Contrast,Shallow Depth,Low Contrast,Balanced Value,Distinct Lines,Highly Balanced Space,Highly Static Movement,Small Empty Space,Direct Perspective,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
Quince Cabbage Melon and Cucumber - Cotan.jpg,Naturalistic Color,Somewhat Diverse Hue,True Tone,Harmonious Color,Stark Color Contrast,Shallow Depth,High Contrast,Dark Value,Distinct Lines,Highly Imbalanced Space,Highly Dynamic Movement,Large Empty Space,Direct Perspective,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
Samson and Delilah - Rubens.jpg,Naturalistic Color,Similar Hue,Vibrant Tone,Friction/Tension Color,Blended Color Contrast,Normal/Regular Depth,High Contrast,Dark Value,Distinct Lines,Highly Imbalanced Space,Highly Dynamic Movement,Intermediate Empty Space,Direct Perspective,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
Samson and Delilah - van Dyck.jpg,Naturalistic Color,Similar Hue,Vibrant Tone,Harmonious Color,Blended Color Contrast,Normal/Regular Depth,Normal Contrast,Balanced Value,Distinct Lines,Mostly Balanced Space,Highly Dynamic Movement,Intermediate Empty Space,Direct Perspective,Mix/Intermediate Controlled Brushstrokes,Blended Brushstrokes,Intermediate/Mix Outlines
Self Portrait - Rembrant.jpg,Naturalistic Color,Similar Hue,True Tone,Harmonious Color,Blended Color Contrast,Shallow Depth,High Contrast,Dark Value,Intermediate Lines,Highly Balanced Space,Highly Static Movement,Large Empty Space,Direct Perspective,Mostly Controlled Brushstrokes,Mixed Visibility Brushstrokes,Light/No Outlines
Self-portrait - Leyster.jpg,Naturalistic Color,Similar Hue,True Tone,Harmonious Color,Blended Color Contrast,Shallow Depth,Low Contrast,Light Value,Distinct Lines,Mostly Balanced Space,Intermediate Movement,Large Empty Space,Direct Perspective,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
Singing boy with a flute - Hals.jpg,Naturalistic Color,Somewhat Diverse Hue,Vibrant Tone,Harmonious Color,Blended Color Contrast,Shallow Depth,Normal Contrast,Balanced Value,Distinct Lines,Mostly Balanced Space,Highly Dynamic Movement,Large Empty Space,Direct Perspective,Mostly Controlled Brushstrokes,Visible Brushstrokes,Light/No Outlines
St. John the Baptist in Wilderness - Caravaggio.jpg,Naturalistic Color,Similar Hue,True Tone,Harmonious Color,Blended Color Contrast,Shallow Depth,High Contrast,Balanced Value,Distinct Lines,Mostly Imbalanced Space,Intermediate Movement,Intermediate Empty Space,Direct Perspective,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
Still life with a sliver ewer - Kalf.jpg,Naturalistic Color,Somewhat Diverse Hue,Vibrant Tone,,Blended Color Contrast,Shallow Depth,High Contrast,Dark Value,Distinct Lines,Highly Balanced Space,Intermediate Movement,Large Empty Space,Direct Perspective,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
Still Life with Ebony Chest - Pereda.jpg,Naturalistic Color,Similar Hue,Muted/Tinted,Harmonious Color,Blended Color Contrast,Shallow Depth,Normal Contrast,Balanced Value,Distinct Lines,Highly Balanced Space,Highly Static Movement,Intermediate Empty Space,Direct Perspective,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
Still Life with Flowers etc - Peeters.jpg,Naturalistic Color,Highly Diverse Hue,Vibrant Tone,Harmonious Color,Blended Color Contrast,Shallow Depth,Normal Contrast,Balanced Value,Distinct Lines,Mostly Balanced Space,Intermediate Movement,Small Empty Space,Direct Perspective,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
The Anatomy Lesson of Dr. Nicolaes Tuple - Rembrant.jpg,Naturalistic Color,Similar Hue,True Tone,Harmonious Color,Blended Color Contrast,Shallow Depth,Normal Contrast,Dark Value,Distinct Lines,Mostly Imbalanced Space,Highly Dynamic Movement,Large Empty Space,Direct Perspective,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
The Arrival of Marie de Medici at Marseille - rubens.jpg,Naturalistic Color,Somewhat Diverse Hue,Vibrant Tone,,Blended Color Contrast,Shallow Depth,Normal Contrast,Light Value,Distinct Lines,Mostly Balanced Space,Highly Dynamic Movement,Small Empty Space,Intermediate Perspective,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
The art of painting - vermeer.jpg,Naturalistic Color,Somewhat Diverse Hue,True Tone,Harmonious Color,Blended Color Contrast,Normal/Regular Depth,Normal Contrast,Balanced Value,Distinct Lines,Mostly Imbalanced Space,Highly Static Movement,Small Empty Space,Intermediate Perspective,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
The Calling of Saint Matthew - Caravaggio.jpg,Naturalistic Color,Similar Hue,Vibrant Tone,Harmonious Color,Blended Color Contrast,Normal/Regular Depth,High Contrast,Dark Value,Intermediate Lines,Highly Balanced Space,Intermediate Movement,Large Empty Space,Intermediate Perspective,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
The Consequences of War - Rubens.jpg,Naturalistic Color,Somewhat Diverse Hue,True Tone,Harmonious Color,Blended Color Contrast,Shallow Depth,Normal Contrast,Balanced Value,Intermediate Lines,Mostly Imbalanced Space,Highly Dynamic Movement,Small Empty Space,Direct Perspective,Mix/Intermediate Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
The Crowning with Thorns - Caravaggio.jpg,Naturalistic Color,Similar Hue,Vibrant Tone,,Blended Color Contrast,Shallow Depth,Normal Contrast,Balanced Value,Distinct Lines,Mostly Balanced Space,Highly Dynamic Movement,Small Empty Space,Direct Perspective,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
The Crucifixion of St. Peter - Caravaggio.jpg,Naturalistic Color,Somewhat Diverse Hue,Vibrant Tone,Friction/Tension Color,Blended Color Contrast,Shallow Depth,High Contrast,Balanced Value,Distinct Lines,Highly Imbalanced Space,Highly Dynamic Movement,Intermediate Empty Space,Direct Perspective,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
The Feast of St Nicholas - Steen.jpg,Naturalistic Color,Somewhat Diverse Hue,Vibrant Tone,Harmonious Color,Blended Color Contrast,Normal/Regular Depth,Normal Contrast,Balanced Value,Distinct Lines,Mostly Balanced Space,Highly Dynamic Movement,Small Empty Space,Direct Perspective,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
The Geographer - Vermeer.jpg,Naturalistic Color,Highly Diverse Hue,True Tone,Harmonious Color,Blended Color Contrast,Normal/Regular Depth,Normal Contrast,Balanced Value,Distinct Lines,Mostly Balanced Space,Highly Static Movement,Intermediate Empty Space,Direct Perspective,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
The Immaculate Conception of Los Venerables - Murillo.jpg,Naturalistic Color,Similar Hue,Vibrant Tone,Friction/Tension Color,Blended Color Contrast,Shallow Depth,Normal Contrast,Balanced Value,Intermediate Lines,Mostly Imbalanced Space,Highly Dynamic Movement,Large Empty Space,Direct Perspective,Mix/Intermediate Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
The Jewish Bride - Rembrant.jpg,Naturalistic Color,Similar Hue,True Tone,Harmonious Color,Blended Color Contrast,Shallow Depth,Low Contrast,Dark Value,Intermediate Lines,Mostly Balanced Space,Highly Static Movement,Large Empty Space,Direct Perspective,Mix/Intermediate Controlled Brushstrokes,Mixed Visibility Brushstrokes,Light/No Outlines
The Jewish Cemetary - Ruisdael.jpg,Naturalistic Color,Somewhat Diverse Hue,True Tone,Harmonious Color,Blended Color Contrast,Deep Depth,Normal Contrast,Balanced Value,Distinct Lines,Mostly Imbalanced Space,Highly Dynamic Movement,Intermediate Empty Space,Intermediate Perspective,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
The Martyrdom of Saint Serapion - Zurbaran.jpg,Naturalistic Color,Similar Hue,Muted/Tinted,Harmonious Color,Blended Color Contrast,Shallow Depth,Normal Contrast,Balanced Value,Distinct Lines,Mostly Balanced Space,Highly Static Movement,Intermediate Empty Space,Direct Perspective,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
The Night Watch - Rembrant.jpg,Naturalistic Color,Similar Hue,True Tone,Harmonious Color,Blended Color Contrast,Deep Depth,High Contrast,Dark Value,Intermediate Lines,Highly Balanced Space,Highly Dynamic Movement,Intermediate Empty Space,Direct Perspective,Mix/Intermediate Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
The Presentation of the Portrait of Marie de' Medici - Rubens.jpg,Naturalistic Color,Highly Diverse Hue,Vibrant Tone,Friction/Tension Color,Blended Color Contrast,Deep Depth,Normal Contrast,Light Value,Distinct Lines,Mostly Imbalanced Space,Highly Dynamic Movement,Small Empty Space,Intermediate Perspective,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
The Proposition - Leyster.jpg,Naturalistic Color,Similar Hue,True Tone,Harmonious Color,Blended Color Contrast,Shallow Depth,High Contrast,Dark Value,Distinct Lines,Highly Imbalanced Space,Intermediate Movement,Large Empty Space,Direct Perspective,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
The Rape of the Daughters of Leucippus.jpg,Naturalistic Color,Somewhat Diverse Hue,Vibrant Tone,Friction/Tension Color,Blended Color Contrast,Deep Depth,Normal Contrast,Light Value,Distinct Lines,Mostly Balanced Space,Highly Dynamic Movement,Small Empty Space,Direct Perspective,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
The Supper at Emmaus - Caravaggio.jpg,Naturalistic Color,Highly Diverse Hue,Vibrant Tone,Friction/Tension Color,Blended Color Contrast,Normal/Regular Depth,Normal Contrast,Balanced Value,Distinct Lines,Highly Balanced Space,Intermediate Movement,Large Empty Space,Direct Perspective,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
The Triumph of Bacchus - Velazquez.jpg,Naturalistic Color,Highly Diverse Hue,Vibrant Tone,Harmonious Color,Blended Color Contrast,Normal/Regular Depth,Normal Contrast,Balanced Value,Distinct Lines,Mostly Balanced Space,Highly Dynamic Movement,Small Empty Space,Direct Perspective,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
The Waterseller of Seville - Velazquez.jpg,Naturalistic Color,Similar Hue,True Tone,Harmonious Color,Blended Color Contrast,Shallow Depth,High Contrast,Dark Value,Distinct Lines,Mostly Balanced Space,Intermediate Movement,Intermediate Empty Space,Direct Perspective,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
Venus Mars and Cupid - Rubens.jpg,Naturalistic Color,Somewhat Diverse Hue,True Tone,Friction/Tension Color,Blended Color Contrast,Normal/Regular Depth,High Contrast,Balanced Value,Distinct Lines,Mostly Balanced Space,Intermediate Movement,Intermediate Empty Space,Direct Perspective,Mix/Intermediate Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
View of Haarlen with Bleaching Grounds - Ruisdael.jpg,Naturalistic Color,Highly Diverse Hue,True Tone,,Blended Color Contrast,Deep Depth,Normal Contrast,Light Value,Intermediate Lines,Highly Balanced Space,Highly Static Movement,Large Empty Space,Removed Perspective,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
Vulcan's Forge - Velazquez.jpg,Naturalistic Color,Somewhat Diverse Hue,True Tone,Harmonious Color,Blended Color Contrast,Normal/Regular Depth,Normal Contrast,Balanced Value,Distinct Lines,Mostly Balanced Space,Highly Dynamic Movement,Small Empty Space,Intermediate Perspective,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
Woman with a water jug - Vermeer.jpg,Naturalistic Color,Highly Diverse Hue,Vibrant Tone,Friction/Tension Color,Blended Color Contrast,Shallow Depth,Low Contrast,Light Value,Distinct Lines,Mostly Balanced Space,Highly Static Movement,Large Empty Space,Direct Perspective,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
Women Regents - Hals.jpg,Naturalistic Color,Similar Hue,True Tone,Friction/Tension Color,Blended Color Contrast,Normal/Regular Depth,High Contrast,Dark Value,Intermediate Lines,Mostly Imbalanced Space,Highly Dynamic Movement,Large Empty Space,Direct Perspective,Mix/Intermediate Controlled Brushstrokes,Mixed Visibility Brushstrokes,Light/No Outlines
Big Nude - Braque.jpg,Expressionistic Color,Highly Diverse Hue,Vibrant Tone,Friction/Tension Color,Stark Color Contrast,Flat Depth,Low Contrast,Light Value,Intermediate Lines,Highly Balanced Space,Intermediate Movement,Intermediate Empty Space,Direct Perspective,Mostly Wild Brushstrokes,Visible Brushstrokes,Heavy Outlines
Bottle and Fishes - Braque.jpg,Expressionistic Color,Similar Hue,Muted/Tinted,Harmonious Color,Blended Color Contrast,Shallow Depth,Normal Contrast,Dark Value,Indistinct Lines,Highly Balanced Space,Intermediate Movement,Small Empty Space,Intermediate Perspective,Mostly Controlled Brushstrokes,Visible Brushstrokes,Intermediate/Mix Outlines
Bottle and Glass on a Table - Gris.jpg,Expressionistic Color,Highly Diverse Hue,Vibrant Tone,Friction/Tension Color,Stark Color Contrast,Flat Depth,Normal Contrast,Light Value,Distinct Lines,Mostly Balanced Space,Highly Dynamic Movement,Intermediate Empty Space,Direct Perspective,Mostly Controlled Brushstrokes,Blended Brushstrokes,Heavy Outlines
Clarinet and Bottle of Rum on a Mantlepiece - Braque.jpg,Expressionistic Color,Similar Hue,Muted/Tinted,Harmonious Color,Blended Color Contrast,Flat Depth,Low Contrast,Balanced Value,Indistinct Lines,Mostly Imbalanced Space,Highly Dynamic Movement,Small Empty Space,Direct Perspective,Mix/Intermediate Controlled Brushstrokes,Visible Brushstrokes,Heavy Outlines
Contrast of Forms - Leger.jpg,Expressionistic Color,Highly Diverse Hue,Vibrant Tone,Friction/Tension Color,,Shallow Depth,Low Contrast,Light Value,Distinct Lines,Highly Balanced Space,Highly Dynamic Movement,Small Empty Space,Direct Perspective,Mix/Intermediate Controlled Brushstrokes,Mixed Visibility Brushstrokes,Heavy Outlines
Cubist Self Portrait - Dali.jpg,Expressionistic Color,Similar Hue,True Tone,Harmonious Color,Stark Color Contrast,Flat Depth,Low Contrast,Light Value,Indistinct Lines,Mostly Balanced Space,Intermediate Movement,Small Empty Space,Direct Perspective,Mix/Intermediate Controlled Brushstrokes,Mixed Visibility Brushstrokes,Heavy Outlines
Daniel-Henry Kahnweiler - Picasso.jpg,Expressionistic Color,Similar Hue,Muted/Tinted,Harmonious Color,Blended Color Contrast,Flat Depth,Normal Contrast,Balanced Value,Indistinct Lines,Mostly Balanced Space,Highly Static Movement,Small Empty Space,Direct Perspective,Mostly Controlled Brushstrokes,Mixed Visibility Brushstrokes,Intermediate/Mix Outlines
Dora Maar au Chat - Picasso.jpg,Expressionistic Color,Highly Diverse Hue,Vibrant Tone,Friction/Tension Color,Stark Color Contrast,Shallow Depth,Normal Contrast,Balanced Value,Distinct Lines,Mostly Imbalanced Space,Intermediate Movement,Intermediate Empty Space,Direct Perspective,Mostly Controlled Brushstrokes,Mixed Visibility Brushstrokes,Heavy Outlines
Fruit Dish and Glass - Braque.jpg,Expressionistic Color,Similar Hue,Muted/Tinted,Harmonious Color,Blended Color Contrast,Flat Depth,Normal Contrast,Balanced Value,Indistinct Lines,Highly Balanced Space,Highly Static Movement,Small Empty Space,Direct Perspective,Mostly Controlled Brushstrokes,Mixed Visibility Brushstrokes,Intermediate/Mix Outlines
Gala and the Angelus of Millet - Dali.jpg,Expressionistic Color,Highly Diverse Hue,Vibrant Tone,Harmonious Color,Blended Color Contrast,Normal/Regular Depth,High Contrast,Balanced Value,Distinct Lines,Mostly Imbalanced Space,Intermediate Movement,Intermediate Empty Space,Direct Perspective,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
Girl Before A Mirror - Picasso.jpg,Expressionistic Color,Highly Diverse Hue,Vibrant Tone,Friction/Tension Color,Stark Color Contrast,Flat Depth,Low Contrast,Light Value,Distinct Lines,Highly Balanced Space,Highly Static Movement,Small Empty Space,Direct Perspective,Mostly Controlled Brushstrokes,Mixed Visibility Brushstrokes,Heavy Outlines
Girl with Mandolin - Picasso.jpg,Expressionistic Color,Monochrome Hue,Muted/Tinted,Harmonious Color,Blended Color Contrast,Shallow Depth,Normal Contrast,Balanced Value,Intermediate Lines,Mostly Balanced Space,Highly Static Movement,Intermediate Empty Space,Direct Perspective,Mostly Controlled Brushstrokes,Blended Brushstrokes,Intermediate/Mix Outlines
Gueridon - Braque.jpg,Expressionistic Color,Similar Hue,Muted/Tinted,Harmonious Color,,Flat Depth,Normal Contrast,Balanced Value,Intermediate Lines,Mostly Balanced Space,Highly Static Movement,Intermediate Empty Space,Direct Perspective,Mix/Intermediate Controlled Brushstrokes,Mixed Visibility Brushstrokes,Intermediate/Mix Outlines
Guernica - Picasso.jpg,Expressionistic Color,Monochrome Hue,Muted/Tinted,,,Flat Depth,High Contrast,Balanced Value,Intermediate Lines,Highly Balanced Space,Highly Dynamic Movement,Small Empty Space,Removed Perspective,Mostly Controlled Brushstrokes,Blended Brushstrokes,Heavy Outlines
Guitar - Picasso.jpg,Naturalistic Color,Somewhat Diverse Hue,True Tone,Harmonious Color,Stark Color Contrast,Flat Depth,Low Contrast,Light Value,Distinct Lines,Mostly Balanced Space,Highly Static Movement,Intermediate Empty Space,Direct Perspective,Mostly Controlled Brushstrokes,Blended Brushstrokes,Intermediate/Mix Outlines
Houses at l'Estaque - Braque.jpg,Naturalistic Color,Similar Hue,True Tone,Harmonious Color,,Shallow Depth,Low Contrast,Dark Value,Intermediate Lines,Mostly Imbalanced Space,Highly Dynamic Movement,Small Empty Space,Intermediate Perspective,Mix/Intermediate Controlled Brushstrokes,Mixed Visibility Brushstrokes,Heavy Outlines
