Name,Mode,Diversity,Intensity,Harmony,Contrast
A Woman playing a clavichord.jpg,Naturalistic Color,Somewhat Diverse Hue,True Tone,Harmonious Color,Blended Color Contrast
Aristotle with a bust of homer - Rembrant.jpg,Naturalistic Color,Similar Hue,True Tone,Harmonious Color,Blended Color Contrast
Bacchanal before a Statue of Pan - Poussin.jpg,Naturalistic Color,Somewhat Diverse Hue,Muted/Tinted,Harmonious Color,Blended Color Contrast
Charles I with M. de St. Antoine - van Dyck.jpg,Naturalistic Color,Highly Diverse Hue,True Tone,Harmonious Color,Blended Color Contrast
Death of the Virgin - Caravaggio.jpg,Naturalistic Color,Similar Hue,Muted/Tinted,Harmonious Color,Blended Color Contrast
Deposition - Caravaggio.jpg,Naturalistic Color,Similar Hue,Vibrant Tone,Friction/Tension Color,Blended Color Contrast
Education of the Princess - Paul Reubens.jpg,Naturalistic Color,Somewhat Diverse Hue,True Tone,Harmonious Color,Blended Color Contrast
Girl with a pearl earring - vermeer.jpg,Naturalistic Color,Somewhat Diverse Hue,True Tone,Harmonious Color,Stark Color Contrast
Judith and her maidservant with the head of Holofernes - Gentileschi.jpg,Naturalistic Color,Similar Hue,Vibrant Tone,Friction/Tension Color,Blended Color Contrast
Judith Slaying Holofernes - Gentileschi.jpg,Naturalistic Color,Somewhat Diverse Hue,True Tone,Friction/Tension Color,Blended Color Contrast
las meninas - Velazquez.jpg,Naturalistic Color,Similar Hue,True Tone,Harmonious Color,Blended Color Contrast
Louis XIV - Rigaud.jpg,Naturalistic Color,Somewhat Diverse Hue,Vibrant Tone,Harmonious Color,Blended Color Contrast
Old Woman Cooking Eggs - 1618.jpg,Naturalistic Color,Similar Hue,True Tone,Harmonious Color,Stark Color Contrast
Portrait of Charles II - Wright.jpg,Naturalistic Color,Somewhat Diverse Hue,Vibrant Tone,Friction/Tension Color,Stark Color Contrast
Quince Cabbage Melon and Cucumber - Cotan.jpg,Naturalistic Color,Somewhat Diverse Hue,True Tone,Harmonious Color,Stark Color Contrast
Samson and Delilah - Rubens.jpg,Naturalistic Color,Similar Hue,Vibrant Tone,Friction/Tension Color,Blended Color Contrast
Samson and Delilah - van Dyck.jpg,Naturalistic Color,Similar Hue,Vibrant Tone,Harmonious Color,Blended Color Contrast
Self Portrait - Rembrant.jpg,Naturalistic Color,Similar Hue,True Tone,Harmonious Color,Blended Color Contrast
Self-portrait - Leyster.jpg,Naturalistic Color,Similar Hue,True Tone,Harmonious Color,Blended Color Contrast
