Name,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
A Woman playing a clavichord.jpg,Indoors,Private Domain,,Recreation,Occupation of Time,Peace,Comfort,Casual,,,,,,,,,
Aristotle with a bust of homer - Rembrant.jpg,Thinker/Artist,Genius,Thoughtful,Greatness,Texture,,,,,,,,,,,,
Bacchanal before a Statue of Pan - Poussin.jpg,Outdoors,Public Domain,Rural Realm,Recreation,Festivity/Celebration,Community/Family,Social Consciousness,Morality,Joy,Harmony,Abundance,Lively,Independence,,,,
Charles I with M. de St. Antoine - van Dyck.jpg,Royalty,Status,Power,Strength,Confidence,,,,,,,,,,,,
Death of the Virgin - Caravaggio.jpg,Religious Subgenre,Indoors,Public Domain,,Religious Action,Conflict,Spirituality,Cycle of life,Loss,Sadness,Drama,,,,,,
Deposition - Caravaggio.jpg,Religious Subgenre,Indoors,Public Domain,,Religious Action,Violence,Conflict,Spirituality,Cycle of life,Morality,Sadness,Drama,Loss,,,,
Education of the Princess - Paul Reubens.jpg,Mythological Subgenre,Outdoors,Private Domain,Rural Realm,Education,Communication,the Mind,Beauty,Greatness,,,,,,,,
Girl with a pearl earring - vermeer.jpg,Commoner,Beauty/Ideal,Thoughtful,Freshness,Elegance,,,,,,,,,,,,
Judith and her maidservant with the head of Holofernes - Gentileschi.jpg,Religious Subgenre,Indoors,Private Domain,,Violence,Conflict,Power,Morality,Community/Family,Strength,Drama,Antiquity,Gender,,,,
Judith Slaying Holofernes - Gentileschi.jpg,Religious Subgenre,Indoors,Private Domain,,Violence,Conflict,Power,Morality,Community/Family,Strength,Drama,Antiquity,Gender,,,,
las meninas - Velazquez.jpg,Royalty,Status,Youth,Youth,Elegance,,,,,,,,,,,,
Louis XIV - Rigaud.jpg,Royalty,Status,Power,Greatness,Confidence,Strength,,,,,,,,,,,
Old Woman Cooking Eggs - 1618.jpg,Indoors,Private Domain,Urban Realm,Dining,Chores,Occupation of Time,Community/Family,Casual,,,,,,,,,
Portrait of Charles II - Wright.jpg,Royalty,Status,Power,Beauty/Ideal,Confidence,Strength,Harmony,,,,,,,,,,
Quince Cabbage Melon and Cucumber - Cotan.jpg,Food,,,,,,,,,,,,,,,,
Samson and Delilah - Rubens.jpg,Religious Subgenre,Indoors,Private Domain,Urban Realm,Conflict,Rest/Liesure,Morality,Government,Drama,Ugly,Sexuality,Antiquity,,,,,
Samson and Delilah - van Dyck.jpg,Religious Subgenre,Indoors,Private Domain,Urban Realm,Rest/Liesure,Conflict,Morality,Government,Texture,Drama,Ugly,Sexuality,Antiquity,,,,
Self Portrait - Rembrant.jpg,Other/Self/Personal,Exhaustion,Thoughtful,Vacancy,,,,,,,,,,,,,
Self-portrait - Leyster.jpg,Other/Self/Personal,Joy,Status,Comfort,Casual,Gender,,,,,,,,,,,
Singing boy with a flute - Hals.jpg,Indoors,Private Domain,,Recreation,Communication,Occupation of Time,Beauty,Youth,Joy,Texture,Drama,Warm,,,,,
