Name,Depth,Contrast,Value,Lines
A Woman playing a clavichord.jpg,Normal/Regular Depth,Normal Contrast,Balanced Value,Distinct Lines
Aristotle with a bust of homer - Rembrant.jpg,Shallow Depth,High Contrast,Dark Value,Intermediate Lines
Bacchanal before a Statue of Pan - Poussin.jpg,Normal/Regular Depth,Low Contrast,Light Value,Distinct Lines
Charles I with M. de St. Antoine - van Dyck.jpg,Normal/Regular Depth,Normal Contrast,Light Value,Distinct Lines
Death of the Virgin - Caravaggio.jpg,Shallow Depth,High Contrast,Dark Value,Distinct Lines
Deposition - Caravaggio.jpg,Shallow Depth,High Contrast,Balanced Value,Distinct Lines
Education of the Princess - Paul Reubens.jpg,Normal/Regular Depth,Normal Contrast,Balanced Value,Distinct Lines
Girl with a pearl earring - vermeer.jpg,Shallow Depth,High Contrast,Balanced Value,Distinct Lines
Judith and her maidservant with the head of Holofernes - Gentileschi.jpg,Shallow Depth,High Contrast,Dark Value,Distinct Lines
Judith Slaying Holofernes - Gentileschi.jpg,Shallow Depth,Normal Contrast,Balanced Value,Distinct Lines
las meninas - Velazquez.jpg,Deep Depth,Normal Contrast,Balanced Value,Distinct Lines
Louis XIV - Rigaud.jpg,Shallow Depth,Normal Contrast,Light Value,Distinct Lines
Old Woman Cooking Eggs - 1618.jpg,Shallow Depth,High Contrast,Balanced Value,Distinct Lines
Portrait of Charles II - Wright.jpg,Shallow Depth,Low Contrast,Balanced Value,Distinct Lines
Quince Cabbage Melon and Cucumber - Cotan.jpg,Shallow Depth,High Contrast,Dark Value,Distinct Lines
Samson and Delilah - Rubens.jpg,Normal/Regular Depth,High Contrast,Dark Value,Distinct Lines
Samson and Delilah - van Dyck.jpg,Normal/Regular Depth,Normal Contrast,Balanced Value,Distinct Lines
Self Portrait - Rembrant.jpg,Shallow Depth,High Contrast,Dark Value,Intermediate Lines
Self-portrait - Leyster.jpg,Shallow Depth,Low Contrast,Light Value,Distinct Lines
Singing boy with a flute - Hals.jpg,Shallow Depth,Normal Contrast,Balanced Value,Distinct Lines
St. John the Baptist in Wilderness - Caravaggio.jpg,Shallow Depth,High Contrast,Balanced Value,Distinct Lines
Still life with a sliver ewer - Kalf.jpg,Shallow Depth,High Contrast,Dark Value,Distinct Lines
Still Life with Ebony Chest - Pereda.jpg,Shallow Depth,Normal Contrast,Balanced Value,Distinct Lines
Still Life with Flowers etc - Peeters.jpg,Shallow Depth,Normal Contrast,Balanced Value,Distinct Lines
The Anatomy Lesson of Dr. Nicolaes Tuple - Rembrant.jpg,Shallow Depth,Normal Contrast,Dark Value,Distinct Lines
The Arrival of Marie de Medici at Marseille - rubens.jpg,Shallow Depth,Normal Contrast,Light Value,Distinct Lines
The art of painting - vermeer.jpg,Normal/Regular Depth,Normal Contrast,Balanced Value,Distinct Lines
