Name,Balance,Movement,Empty Space,Perspective
A Woman playing a clavichord.jpg,Mostly Imbalanced Space,Intermediate Movement,Intermediate Empty Space,Direct Perspective
Aristotle with a bust of homer - Rembrant.jpg,Highly Balanced Space,Highly Static Movement,Intermediate Empty Space,Direct Perspective
Bacchanal before a Statue of Pan - Poussin.jpg,Mostly Balanced Space,Highly Static Movement,Small Empty Space,Intermediate Perspective
Charles I with M. de St. Antoine - van Dyck.jpg,Mostly Balanced Space,Intermediate Movement,Small Empty Space,Intermediate Perspective
Death of the Virgin - Caravaggio.jpg,Mostly Balanced Space,Highly Static Movement,Intermediate Empty Space,Intermediate Perspective
Deposition - Caravaggio.jpg,Mostly Imbalanced Space,Highly Dynamic Movement,Intermediate Empty Space,Direct Perspective
Education of the Princess - Paul Reubens.jpg,Mostly Balanced Space,Intermediate Movement,Intermediate Empty Space,Intermediate Perspective
Girl with a pearl earring - vermeer.jpg,Mostly Balanced Space,Highly Static Movement,Large Empty Space,Direct Perspective
Judith and her maidservant with the head of Holofernes - Gentileschi.jpg,Mostly Imbalanced Space,Highly Dynamic Movement,Intermediate Empty Space,Direct Perspective
Judith Slaying Holofernes - Gentileschi.jpg,Highly Imbalanced Space,Highly Dynamic Movement,Intermediate Empty Space,Intermediate Perspective
las meninas - Velazquez.jpg,Highly Balanced Space,Highly Dynamic Movement,Large Empty Space,Direct Perspective
Louis XIV - Rigaud.jpg,Highly Balanced Space,Highly Static Movement,Large Empty Space,Direct Perspective
Old Woman Cooking Eggs - 1618.jpg,Mostly Balanced Space,Highly Dynamic Movement,Intermediate Empty Space,Direct Perspective
Portrait of Charles II - Wright.jpg,Highly Balanced Space,Highly Static Movement,Small Empty Space,Direct Perspective
Quince Cabbage Melon and Cucumber - Cotan.jpg,Highly Imbalanced Space,Highly Dynamic Movement,Large Empty Space,Direct Perspective
Samson and Delilah - Rubens.jpg,Highly Imbalanced Space,Highly Dynamic Movement,Intermediate Empty Space,Direct Perspective
Samson and Delilah - van Dyck.jpg,Mostly Balanced Space,Highly Dynamic Movement,Intermediate Empty Space,Direct Perspective
Self Portrait - Rembrant.jpg,Highly Balanced Space,Highly Static Movement,Large Empty Space,Direct Perspective
Self-portrait - Leyster.jpg,Mostly Balanced Space,Intermediate Movement,Large Empty Space,Direct Perspective
Singing boy with a flute - Hals.jpg,Mostly Balanced Space,Highly Dynamic Movement,Large Empty Space,Direct Perspective
St. John the Baptist in Wilderness - Caravaggio.jpg,Mostly Imbalanced Space,Intermediate Movement,Intermediate Empty Space,Direct Perspective
