Name,Control,Visibility,Outlines
A Woman playing a clavichord.jpg,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
Aristotle with a bust of homer - Rembrant.jpg,Mix/Intermediate Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
Bacchanal before a Statue of Pan - Poussin.jpg,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
Charles I with M. de St. Antoine - van Dyck.jpg,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
Death of the Virgin - Caravaggio.jpg,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
Deposition - Caravaggio.jpg,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
Education of the Princess - Paul Reubens.jpg,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
Girl with a pearl earring - vermeer.jpg,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
Judith and her maidservant with the head of Holofernes - Gentileschi.jpg,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
Judith Slaying Holofernes - Gentileschi.jpg,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
las meninas - Velazquez.jpg,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
Louis XIV - Rigaud.jpg,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
Old Woman Cooking Eggs - 1618.jpg,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
Portrait of Charles II - Wright.jpg,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
Quince Cabbage Melon and Cucumber - Cotan.jpg,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
Samson and Delilah - Rubens.jpg,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
Samson and Delilah - van Dyck.jpg,Mix/Intermediate Controlled Brushstrokes,Blended Brushstrokes,Intermediate/Mix Outlines
Self Portrait - Rembrant.jpg,Mostly Controlled Brushstrokes,Mixed Visibility Brushstrokes,Light/No Outlines
Self-portrait - Leyster.jpg,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
Singing boy with a flute - Hals.jpg,Mostly Controlled Brushstrokes,Visible Brushstrokes,Light/No Outlines
St. John the Baptist in Wilderness - Caravaggio.jpg,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
Still life with a sliver ewer - Kalf.jpg,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
Still Life with Ebony Chest - Pereda.jpg,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
Still Life with Flowers etc - Peeters.jpg,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
The Anatomy Lesson of Dr. Nicolaes Tuple - Rembrant.jpg,Mostly Controlled Brushstrokes,Blended Brushstrokes,Light/No Outlines
